trade_id,abuse_type
23805,wash_trade
23806,wash_trade
23807,wash_trade
23808,wash_trade
23809,wash_trade
23810,wash_trade
23811,wash_trade
23812,wash_trade
23813,wash_trade
23814,wash_trade
23815,wash_trade
23816,wash_trade
23817,wash_trade
23818,wash_trade
23819,wash_trade
23820,wash_trade
23821,wash_trade
23822,wash_trade
23823,wash_trade
23824,wash_trade
23825,wash_trade
23826,wash_trade
23827,wash_trade
23828,wash_trade
23829,wash_trade
23830,wash_trade
23831,wash_trade
23832,wash_trade
23833,wash_trade
23834,wash_trade
23835,wash_trade
23836,wash_trade
23837,wash_trade
23838,wash_trade
23839,wash_trade
23840,wash_trade
23841,wash_trade
23842,wash_trade
23843,wash_trade
23844,wash_trade
23845,wash_trade
23846,wash_trade
23847,wash_trade
23848,wash_trade
23849,wash_trade
23850,wash_trade
23851,wash_trade
23852,wash_trade
23853,wash_trade
23854,wash_trade
23855,wash_trade
23856,wash_trade
23857,wash_trade
23858,wash_trade
23859,wash_trade
23860,wash_trade
23861,wash_trade
23862,wash_trade
23863,wash_trade
23864,wash_trade
23865,wash_trade
23866,wash_trade
23867,wash_trade
23868,wash_trade
23869,wash_trade
23870,wash_trade
23871,wash_trade
23872,wash_trade
23873,wash_trade
23874,wash_trade
23875,wash_trade
23876,wash_trade
23877,wash_trade
23878,wash_trade
23879,wash_trade
23880,wash_trade
23881,marking_close
23882,marking_close
23883,marking_close
23884,marking_close
23885,marking_close
23886,marking_close
23887,marking_close
23888,marking_close
23889,marking_close
23890,marking_close
23891,marking_close
23892,marking_close
23893,marking_close
23894,marking_close
23895,marking_close
23896,marking_close
23897,marking_close
23898,marking_close
23899,marking_close
23900,marking_close
23901,marking_close
23902,marking_close
23903,marking_close
23904,marking_close
23905,marking_close
23906,marking_close
23907,marking_close
23908,marking_close
23909,marking_close
23910,marking_close
23911,marking_close
23912,marking_close
23913,marking_close
23914,marking_close
23915,marking_close
23916,marking_close
23917,marking_close
23918,marking_close
23919,marking_close
23920,marking_close
23921,marking_close
23922,marking_close
23923,marking_close
23924,marking_close
23925,pre_news_spike
23926,pre_news_spike
23927,pre_news_spike
23928,pre_news_spike
23929,pre_news_spike
23930,pre_news_spike
23931,pre_news_spike
23932,pre_news_spike
23933,pre_news_spike
23934,pre_news_spike
23935,pre_news_spike
23936,pre_news_spike
23937,pre_news_spike
23938,pre_news_spike
23939,pre_news_spike
23940,pre_news_spike
23941,pre_news_spike
23942,pre_news_spike
23943,pre_news_spike
23944,pre_news_spike
23945,pre_news_spike
23946,pre_news_spike
