trade_id,timestamp,ticker,account_id,side,price,volume,flag_wash_trade,flag_marking_close,flag_volume_anomaly,flagged
442,2026-05-27 09:30:00,TSLA,ACC0013,BUY,83.04,121,False,False,False,False
568,2026-05-27 09:30:00,JPM,ACC0025,BUY,391.31,342,False,False,False,False
197,2026-05-27 09:31:00,GOOG,ACC0023,SELL,350.7,3112,False,False,False,False
105,2026-05-27 09:31:00,MSFT,ACC0055,BUY,202.97,100,False,False,False,False
0,2026-05-27 09:32:00,AAPL,ACC0033,SELL,320.72,278,False,False,False,False
320,2026-05-27 09:32:00,AMZN,ACC0059,SELL,294.29,414,False,False,False,False
569,2026-05-27 09:33:00,JPM,ACC0019,BUY,391.32,36,False,False,False,False
803,2026-05-27 09:33:00,NFLX,ACC0009,SELL,323.78,237,False,False,False,False
443,2026-05-27 09:33:00,TSLA,ACC0018,SELL,83.24,121,False,False,False,False
676,2026-05-27 09:33:00,XOM,ACC0016,SELL,316.91,93,False,False,False,False
804,2026-05-27 09:34:00,NFLX,ACC0052,BUY,323.38,581,False,False,False,False
198,2026-05-27 09:34:00,GOOG,ACC0034,BUY,350.33,531,False,False,False,False
106,2026-05-27 09:36:00,MSFT,ACC0002,SELL,203.56,592,False,False,False,False
199,2026-05-27 09:37:00,GOOG,ACC0056,BUY,350.81,250,False,False,False,False
677,2026-05-27 09:38:00,XOM,ACC0036,SELL,317.07,445,False,False,False,False
321,2026-05-27 09:39:00,AMZN,ACC0052,BUY,293.93,344,False,False,False,False
805,2026-05-27 09:39:00,NFLX,ACC0046,BUY,323.2,52,False,False,False,False
200,2026-05-27 09:39:00,GOOG,ACC0018,BUY,350.81,320,False,False,False,False
570,2026-05-27 09:39:00,JPM,ACC0034,SELL,390.01,793,False,False,False,False
807,2026-05-27 09:40:00,NFLX,ACC0021,SELL,324.51,452,False,False,False,False
572,2026-05-27 09:40:00,JPM,ACC0017,SELL,389.47,165,False,False,False,False
806,2026-05-27 09:40:00,NFLX,ACC0017,SELL,323.67,45,False,False,False,False
571,2026-05-27 09:40:00,JPM,ACC0008,BUY,389.49,70,False,False,False,False
678,2026-05-27 09:40:00,XOM,ACC0003,BUY,316.3,159,False,False,False,False
322,2026-05-27 09:40:00,AMZN,ACC0028,BUY,293.7,107,False,False,False,False
679,2026-05-27 09:41:00,XOM,ACC0031,BUY,316.04,140,False,False,False,False
808,2026-05-27 09:41:00,NFLX,ACC0016,SELL,325.15,135,False,False,False,False
444,2026-05-27 09:42:00,TSLA,ACC0002,SELL,83.33,256,False,False,False,False
573,2026-05-27 09:42:00,JPM,ACC0045,BUY,389.95,566,False,False,False,False
201,2026-05-27 09:43:00,GOOG,ACC0041,BUY,351.16,111,False,False,False,False
810,2026-05-27 09:43:00,NFLX,ACC0022,SELL,325.57,305,False,False,False,False
809,2026-05-27 09:43:00,NFLX,ACC0035,SELL,325.67,176,False,False,False,False
1,2026-05-27 09:44:00,AAPL,ACC0036,BUY,321.07,461,False,False,False,False
811,2026-05-27 09:44:00,NFLX,ACC0026,BUY,325.28,401,False,False,False,False
445,2026-05-27 09:44:00,TSLA,ACC0019,SELL,83.4,262,False,False,False,False
324,2026-05-27 09:45:00,AMZN,ACC0045,BUY,293.27,383,False,False,False,False
323,2026-05-27 09:45:00,AMZN,ACC0057,SELL,293.38,509,False,False,False,False
680,2026-05-27 09:45:00,XOM,ACC0044,SELL,316.43,453,False,False,False,False
107,2026-05-27 09:46:00,MSFT,ACC0032,SELL,203.67,176,False,False,False,False
2,2026-05-27 09:47:00,AAPL,ACC0001,SELL,321.48,209,False,False,False,False
681,2026-05-27 09:47:00,XOM,ACC0057,BUY,316.71,201,False,False,False,False
812,2026-05-27 09:48:00,NFLX,ACC0036,SELL,325.25,171,False,False,False,False
682,2026-05-27 09:49:00,XOM,ACC0038,SELL,317.96,381,False,False,False,False
202,2026-05-27 09:49:00,GOOG,ACC0020,BUY,351.13,261,False,False,False,False
574,2026-05-27 09:50:00,JPM,ACC0050,BUY,390.82,210,False,False,False,False
108,2026-05-27 09:50:00,MSFT,ACC0038,SELL,203.86,186,False,False,False,False
203,2026-05-27 09:50:00,GOOG,ACC0016,BUY,350.43,176,False,False,False,False
446,2026-05-27 09:50:00,TSLA,ACC0048,BUY,83.37,798,False,False,False,False
109,2026-05-27 09:51:00,MSFT,ACC0031,SELL,203.51,245,False,False,False,False
683,2026-05-27 09:51:00,XOM,ACC0045,BUY,318.18,108,False,False,False,False
575,2026-05-27 09:51:00,JPM,ACC0021,BUY,391.29,112,False,False,False,False
