trade_id,timestamp,ticker,account_id,side,price,volume
442,2026-05-27 09:30:00,TSLA,ACC0013,BUY,83.04,121
568,2026-05-27 09:30:00,JPM,ACC0025,BUY,391.31,342
197,2026-05-27 09:31:00,GOOG,ACC0023,SELL,350.7,3112
105,2026-05-27 09:31:00,MSFT,ACC0055,BUY,202.97,100
0,2026-05-27 09:32:00,AAPL,ACC0033,SELL,320.72,278
320,2026-05-27 09:32:00,AMZN,ACC0059,SELL,294.29,414
569,2026-05-27 09:33:00,JPM,ACC0019,BUY,391.32,36
803,2026-05-27 09:33:00,NFLX,ACC0009,SELL,323.78,237
443,2026-05-27 09:33:00,TSLA,ACC0018,SELL,83.24,121
676,2026-05-27 09:33:00,XOM,ACC0016,SELL,316.91,93
804,2026-05-27 09:34:00,NFLX,ACC0052,BUY,323.38,581
198,2026-05-27 09:34:00,GOOG,ACC0034,BUY,350.33,531
106,2026-05-27 09:36:00,MSFT,ACC0002,SELL,203.56,592
199,2026-05-27 09:37:00,GOOG,ACC0056,BUY,350.81,250
677,2026-05-27 09:38:00,XOM,ACC0036,SELL,317.07,445
321,2026-05-27 09:39:00,AMZN,ACC0052,BUY,293.93,344
805,2026-05-27 09:39:00,NFLX,ACC0046,BUY,323.2,52
200,2026-05-27 09:39:00,GOOG,ACC0018,BUY,350.81,320
570,2026-05-27 09:39:00,JPM,ACC0034,SELL,390.01,793
807,2026-05-27 09:40:00,NFLX,ACC0021,SELL,324.51,452
572,2026-05-27 09:40:00,JPM,ACC0017,SELL,389.47,165
806,2026-05-27 09:40:00,NFLX,ACC0017,SELL,323.67,45
571,2026-05-27 09:40:00,JPM,ACC0008,BUY,389.49,70
678,2026-05-27 09:40:00,XOM,ACC0003,BUY,316.3,159
322,2026-05-27 09:40:00,AMZN,ACC0028,BUY,293.7,107
679,2026-05-27 09:41:00,XOM,ACC0031,BUY,316.04,140
808,2026-05-27 09:41:00,NFLX,ACC0016,SELL,325.15,135
444,2026-05-27 09:42:00,TSLA,ACC0002,SELL,83.33,256
573,2026-05-27 09:42:00,JPM,ACC0045,BUY,389.95,566
201,2026-05-27 09:43:00,GOOG,ACC0041,BUY,351.16,111
810,2026-05-27 09:43:00,NFLX,ACC0022,SELL,325.57,305
809,2026-05-27 09:43:00,NFLX,ACC0035,SELL,325.67,176
1,2026-05-27 09:44:00,AAPL,ACC0036,BUY,321.07,461
811,2026-05-27 09:44:00,NFLX,ACC0026,BUY,325.28,401
445,2026-05-27 09:44:00,TSLA,ACC0019,SELL,83.4,262
324,2026-05-27 09:45:00,AMZN,ACC0045,BUY,293.27,383
323,2026-05-27 09:45:00,AMZN,ACC0057,SELL,293.38,509
680,2026-05-27 09:45:00,XOM,ACC0044,SELL,316.43,453
107,2026-05-27 09:46:00,MSFT,ACC0032,SELL,203.67,176
2,2026-05-27 09:47:00,AAPL,ACC0001,SELL,321.48,209
681,2026-05-27 09:47:00,XOM,ACC0057,BUY,316.71,201
812,2026-05-27 09:48:00,NFLX,ACC0036,SELL,325.25,171
682,2026-05-27 09:49:00,XOM,ACC0038,SELL,317.96,381
202,2026-05-27 09:49:00,GOOG,ACC0020,BUY,351.13,261
574,2026-05-27 09:50:00,JPM,ACC0050,BUY,390.82,210
108,2026-05-27 09:50:00,MSFT,ACC0038,SELL,203.86,186
203,2026-05-27 09:50:00,GOOG,ACC0016,BUY,350.43,176
446,2026-05-27 09:50:00,TSLA,ACC0048,BUY,83.37,798
109,2026-05-27 09:51:00,MSFT,ACC0031,SELL,203.51,245
683,2026-05-27 09:51:00,XOM,ACC0045,BUY,318.18,108
575,2026-05-27 09:51:00,JPM,ACC0021,BUY,391.29,112
325,2026-05-27 09:52:00,AMZN,ACC0050,BUY,293.58,1130
684,2026-05-27 09:53:00,XOM,ACC0014,BUY,318.42,574
576,2026-05-27 09:53:00,JPM,ACC0023,SELL,390.89,813
813,2026-05-27 09:54:00,NFLX,ACC0000,BUY,326.26,518
3,2026-05-27 09:54:00,AAPL,ACC0051,BUY,320.93,117
814,2026-05-27 09:54:00,NFLX,ACC0039,BUY,327.77,369
326,2026-05-27 09:55:00,AMZN,ACC0052,BUY,293.42,163
